name,team,position,gw1_expected_goals,gw2_expected_goals,gw3_expected_goals,gw4_expected_goals,gw5_expected_goals,gw6_expected_goals,gw7_expected_goals,gw8_expected_goals,gw9_expected_goals,gw10_expected_goals,gw11_expected_goals,gw12_expected_goals,gw13_expected_goals,gw14_expected_goals,gw15_expected_goals,gw16_expected_goals,gw17_expected_goals,gw18_expected_goals,gw19_expected_goals,gw20_expected_goals,gw21_expected_goals,gw22_expected_goals,gw23_expected_goals,gw24_expected_goals,gw25_expected_goals,gw26_expected_goals,gw27_expected_goals,gw28_expected_goals,gw29_expected_goals,gw30_expected_goals,gw31_expected_goals,gw32_expected_goals,gw33_expected_goals,gw34_expected_goals,gw35_expected_goals,gw36_expected_goals,gw37_expected_goals,gw38_expected_goals
Archie Gray,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,6.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Armel Bella-Kotchap,17.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.14,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Armstrong Oko-Flex,19.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnaut Danjuma,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.34,0.0,0.0,0.0,0.05,0.21,0.0
Arthur Henrique Ramos de Oliveira Melo,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Masuaku,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Young,2.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0,0.0116,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.07,0.08,0.0,0.0
Asmir BegoviÄ,8.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,13.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.01
Ayoze PÃ©rez,11.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775,0.0,0.6075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
