name,team,position,gw1_minutes,gw2_minutes,gw3_minutes,gw4_minutes,gw5_minutes,gw6_minutes,gw7_minutes,gw8_minutes,gw9_minutes,gw10_minutes,gw11_minutes,gw12_minutes,gw13_minutes,gw14_minutes,gw15_minutes,gw16_minutes,gw17_minutes,gw18_minutes,gw19_minutes,gw20_minutes,gw21_minutes,gw22_minutes,gw23_minutes,gw24_minutes,gw25_minutes,gw26_minutes,gw27_minutes,gw28_minutes,gw29_minutes,gw30_minutes,gw31_minutes,gw32_minutes,gw33_minutes,gw34_minutes,gw35_minutes,gw36_minutes,gw37_minutes,gw38_minutes
Jeremy Sarmiento Morante,5.0,MID,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesper LindstrÃ¸m,8.0,MID,0.0,33.0,0.0,9.0,60.0,45.0,0.0,0.0,22.0,87.0,90.0,71.0,66.0,7.0,,24.0,16.0,9.0,45.0,45.0,31.0,69.0,61.0,74.0,78.0,53.0,74.0,62.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesurun Rak-Sakyi,7.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Jhon DurÃ¡n,2.0,FWD,28.0,25.0,29.0,21.0,28.0,26.0,27.0,15.0,33.0,21.0,25.0,21.0,24.0,25.0,57.0,73.0,79.0,31.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Jimi Gower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Joachim Andersen,7.0,DEF,90.0,0.0,0.0,90.0,90.0,90.0,90.0,63.0,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Joachim Kayi-Sanda,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
Joe Aribo,17.0,MID,69.0,75.0,81.0,0.0,1.0,45.0,90.0,90.0,30.0,45.0,72.0,53.0,24.0,90.0,45.0,90.0,56.0,29.0,50.0,86.0,72.0,90.0,87.0,90.0,84.0,90.0,90.0,7.0,90.0,19.0,63.0,0.0,0.0,0.0,0.0,45.0,59.0,0.0
Joe Gauci,2.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Joe Gomez,12.0,DEF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,45.0,0.0,0.0,90.0,66.0,,90.0,90.0,90.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Hodge,20.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Knight,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Lumley,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe White,15.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Willock,15.0,MID,0.0,20.0,0.0,45.0,45.0,13.0,21.0,24.0,22.0,64.0,68.0,45.0,74.0,2.0,0.0,9.0,63.0,12.0,5.0,4.0,12.0,24.0,11.0,26.0,45.0,69.0,67.0,11.0,,24.0,0.0,0.0,14.0,66.0,73.0,0.0,14.0,45.0
Joe Worrall,16.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Ward,7.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,70.0,0.0
Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,15.0,MID,90.0,90.0,90.0,45.0,73.0,90.0,90.0,90.0,88.0,90.0,90.0,68.0,90.0,87.0,59.0,90.0,0.0,90.0,90.0,90.0,82.0,90.0,90.0,63.0,0.0,0.0,0.0,90.0,,90.0,64.0,84.0,90.0,0.0,0.0,0.0,0.0,0.0
John McGinn,2.0,MID,61.0,64.0,90.0,89.0,45.0,0.0,0.0,7.0,70.0,80.0,45.0,68.0,90.0,87.0,90.0,90.0,90.0,79.0,90.0,18.0,0.0,0.0,17.0,90.0,90.0,90.0,90.0,60.0,,90.0,17.0,5.0,71.0,,60.0,20.0,89.0,61.0
